All,모두
"Last 24 Hours","지난 24시간"
"Last 7 Days","지난 7일"
"Current Month","이번 달"
"Authentication storage is incorrect.","인증 저장소가 잘못되었습니다."
"You did not sign in correctly or your account is temporarily disabled.","올바르게 로그인하지 않았거나 일시적으로 사용이 중지된 계정입니다."
"Authentication error occurred.","인증 에러 발생."
"Admin session lifetime must be less than or equal to 31536000 seconds (one year)","관리자 새션 수면은 31536000초(1년) 이하여야 합니다."
"Admin session lifetime must be greater than or equal to 60 seconds","관리자 새션 수면은 60초 이상이어야 합니다."
Order,주문
"Order #%1","주문번호 %1"
"Welcome, please sign in","환영합니다! 로그인하세요."
Username,"사용자 이름"
"user name",사용자이름
Password,비밀번호
password,비밀번호
"Sign in",로그인
"Select Range:","범위 선택:"
"No Data Found","데이터가 없습니다"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","차트가 비활성화 되어있습니다. 활성화 하려면 <a href=""%1"">이곳을</a> 클릭하십시오."
"Last Orders","마지막 주문"
"Last Search Terms","마지막 검색어"
"Top Search Terms","상위 검색어"
"There are no search keywords.","검색 키워드가 없습니다."
"View Statistics For:","다음 통계 보기:"
"All Websites","모든 웹사이트 "
"Reload Data","데이터 리로드"
"Browse Files...","파일 찾기..."
Magento,마젠토
"ver. %1","버전 %1"
"Magento Admin Panel","마젠토 관리자 패널"
"Account Setting","계정 설정"
"Customer View","고객 보기"
"Sign Out",로그아웃
"Go Today","오늘로 가기"
Previous,이전
Next,다음
Time,시간
Hour,시
Minute,분
"JavaScript may be disabled in your browser.","브라우저에서 자바스크립트가 비활성화되었을 수 있습니다."
"To use this website you must first enable JavaScript in your browser.","웹사이트를 이용하기 위해서는 먼저 브라우저에서 자바스크립트를 활성화 시켜야 합니다."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","데모사이트 입니다. 상품 주문은 가능하지만 실제 처리되지는 않습니다."
"Store View:",스토어뷰:
"Stores Configuration","스토어 설정"
"Please confirm scope switching. All data that hasn't been saved will be lost.","적용 범위 변경을 확인해 주십시오. 저장하지 않은 모든 데이터가 삭제됩니다."
"Additional Cache Management","추가 캐시 관리"
"Flush Catalog Images Cache","카탈로그 이미지 캐시 비우기"
"Pregenerated product images files","미리 생성된 상품 이미지 파일"
"Flush JavaScript/CSS Cache","자바스크립트/CSS Cache 비우기"
"Themes JavaScript and CSS files combined to one file","테마의 자바스크립트와 CSS가 하나의 파일로 결합됩니다."
"Flush Static Files Cache","정적 파일 캐시 비우기"
"Preprocessed view files and static files","전처리 파일 및 정적 파일"
Catalog,카탈로그
JavaScript/CSS,자바스크립트/CSS
"JavaScript/CSS Cache","자바스크립트/CSS 캐시"
"No records found.","결과 없음"
Images,이미지
"Big Image","큰 이미지"
Thumbnail,썸네일
"Additional Settings","추가 설정"
selected,선택됨
"per page","페이지 당"
"Previous page","이전 페이지"
"Next page","다음 페이지"
"Export to:","다음으로 내보내기"
"Mass Actions","대량 작업"
"Unselect All","모두 선택취소"
"Select Visible","보이는 항목 선택"
"Unselect Visible","보이는 항목 해제"
"This tab contains invalid data. Please resolve this before saving.","이 탭에 잘못된 데이터가 있습니다. 문제 해결후 저장해 주십시오."
"The information in this tab has been changed.","이 탭의 정보가 변경 되었습니다."
Loading...,"불러오는 중..."
"We could not detect a size.","사이즈를 알 수 없습니다. "
"We don't recognize or support this file extension type.","해당 파일의 확장자를 인식할 수 없거나 지원하지 않는 형식입니다."
"Warning message","경고 메세지"
"This operation can take a long time","이 작업은 시간이 걸립니다."
"Allow everything","모두 허용"
"Magento Admin","마젠토 관리자"
"Global Search","글로벌 검색"
Marketing,마케팅
"SEO & Search","검색 엔진 최적화 및 검색"
"User Content","사용자 콘텐츠"
Content,콘텐츠
Elements,요소
Design,디자인
Schedule,스케줄
Settings,설정
Attributes,어트리뷰트
"Other Settings","기타 설정"
"Data Transfer","데이터 전송"
"Magento Connect","마젠토 커넥트"
"Connect Manager","커넥트 관리자"
"Package Extensions","패키지 익스텐션"
Tools,도구
"Web Setup Wizard","웹 설치 마법사"
Currency,통화
Communications,커뮤니케이션
Services,서비스
Advanced,고급
"Disable Modules Output","모듈 출력 비활성화"
"Store Email Addresses","스토어 이메일 주소"
"Custom Email 1","커스텀 이메일 1"
"Sender Email","보내는 사람 이메일"
"Sender Name","보내는 사람 이름"
"Custom Email 2","커스텀 이메일 2"
"Customer Support","고객 지원"
Developer,개발자
"Template Settings","템플릿 설정"
"Allow Symlinks","심볼릭 링크 허용"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","경고! 프로덕션 환경에서 해당 기능 활성화는 권장하지 않습니다! 잠재적인 보안 위험성이 있습니다."
"Minify Html","Html 압축"
"Minification is not applied in developer mode.","압축은 개발자 모드에서는 지원되지 않습니다."
"Translate Inline","인라인 번역"
"Enabled for Storefront","스토어프론트에 사용"
"Enabled for Admin","관리자에 사용"
"JavaScript Settings","자바스크립트 설정"
"Merge JavaScript Files","자바스크립트 파일 병합"
"Minify JavaScript Files","자바스크립트 파일을 압축"
"CSS Settings","CSS 설정"
"Merge CSS Files","CSS 파일 병합"
"Minify CSS Files","CSS 파일 축소"
"Image Processing Settings","이미지 처리 설정"
"Image Adapter","이미지 어댑터"
"Static Files Settings","정적 파일 설정"
"Country Options","국가 옵션"
"Allow Countries","허용된 국가"
"Default Country","기본 국가"
"European Union Countries","EU 국가"
"Top destinations","국가 선택시 상위 노출"
"Locale Options","언어 옵션"
Timezone,시간대
Locale,언어
"First Day of Week","주의 첫번째 날"
"Weekend Days",주말
"Store Name","스토어 이름"
"Store Phone Number","스토어 전화 번호"
"Store Hours of Operation","스토어 영업 시간"
Country,국가
"ZIP/Postal Code",우편번호
City,"시/군 "
"Street Address",도로명주소
"VAT Number","VAT 번호 "
"Single-Store Mode","단일 스토어 모드"
"Enable Single-Store Mode","단일 스토어 모드 활성화"
"Mail Sending Settings","메일 보내기 설정"
"Disable Email Communications","이메일 사용 비활성화"
Host,호스트
"Port (25)","포트 (25)"
Admin,관리자
"Admin User Emails","관리자 이메일"
"Forgot Password Email Template","이메일 분실 템플릿"
"Startup Page","시작 페이지"
"Admin Base URL","관리자 기본 URL"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","URL 마지막에 '/' (슬래시)를 반드시 넣어주십시오.예) http://yourdomain/magento/"
Security,보안
"Recovery Link Expiration Period (hours)","복구 링크 유효기간(시간)"
"Please enter a number 1 or greater in this field.","1이상의 숫자를 넣어주십시오."
"Add Secret Key to URLs","URL에 비밀키 추가"
"Login is Case Sensitive","로그인은 대소문자를 구분합니다"
"Admin Session Lifetime (seconds)","관리자 세션 수명 (초)"
"Please enter at least 60 and at most 31536000 (one year).","60에서 31536000(1년) 사이의 값을 입력해 주십시오."
"Enable Charts","차트 활성화"
Web,웹
"Url Options","Url 옵션"
"Add Store Code to Urls","스토어 코드를 Url에 추가"
"Auto-redirect to Base URL","기본 URL로 자동 이동"
"Search Engine Optimization","검색 엔진 최적화"
"Use Web Server Rewrites","웹서버 Rewrites 기능을 사용"
"Base URLs","기본 URL"
"Base URL","기본 URL"
"Specify URL or {{base_url}} placeholder.","URL 또는 {{base_url}} 자리 표시자를 지정 합니다."
"Base Link URL","기본 링크 URL"
"Base URL for Static View Files","정적 뷰파일에 대한 기본 URL"
"May be empty or start with {{unsecure_base_url}} placeholder.","비어 있을 수 있습니다 또는 {{unsecure_base_url}} 자리 표시자로 시작."
"Base URL for User Media Files","미디어 파일을 위한 기본 URL"
"Base URLs (Secure)","기본 URL (보안)"
"Secure Base URL","보안 기본 URL"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","URL 또는 {{base_url}}또는 {{unsecure_base_url}} 자리 표시자를 지정 합니다."
"Secure Base Link URL","보안 기본 링크 URL"
"Secure Base URL for Static View Files","정적 뷰파일에 대한 보안 기본 URL"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","비어 있을 수 있습니다 또는 {{secure_base_url}}또는 {{unsecure_base_url}} 자리 표시자로 시작."
"Secure Base URL for User Media Files","미디어 파일을 위한 보안 기본 URL"
"Use Secure URLs on Storefront","스토어에 보안 URL 사용"
"Use Secure URLs in Admin","관리자에 보안 URL 사용"
"Enable HTTP Strict Transport Security (HSTS)","엄격한 HTTP 전송 보안 (HSTS) 사용"
"Default Pages","기본 페이지"
"Default Web URL","기본 웹 URL"
"Default No-route URL","기본 No-route URL"
"Session Validation Settings","세션 유효성 검사 설정"
"Validate REMOTE_ADDR","REMOTE_ADDR 유효성 검사"
"Validate HTTP_VIA","HTTP_VIA 유효성 검사"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR 유효성 검사"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT 유효성 검사"
"Use SID on Storefront","스토어 프론트에 SID 사용"
"Allows customers to stay logged in when switching between different stores.","다른 스토어로 전환시 로그인상태 유지 허용"
"Cache Type","캐시 타입"
Description,"상세 설명"
Tags,태그
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 에러</h1><p>페이지가 없습니다.</p>"
"Community Edition","커뮤니티 에디션"
"Default Theme","기본 테마"
"If no value is specified, the system default is used. The system default may be modified by third party extensions.","값을 지정하지 않으면 시스템 기본값을 사용합니다. 시스템 기본값은 외부 익스텐션을 이용해서 수정할 수 있습니다."
"Applied Theme","적용된 테마"
"Design Rule","디자인 규칙"
"User Agent Rules","User Agent 규칙"
Pagination,"페이지 목록"
"How many links to display at once.","얼마나 많은 링크를 한번에 표시하겠습니까?"
